x, y, z
27.086, 23.377, 3.699
21.090, 32.224, 14.873
31.489, 5.659, 15.088
37.826, 20.829, 3.463
0.600, 23.589, 3.376
3.220, 39.765, 3.728
11.897, 33.145, 15.105
9.898, 33.077, 3.323
17.577, 36.709, 3.406
12.040, 6.912, 15.279
14.667, 14.900, 3.109
2.794, 28.920, 3.327
15.308, 31.514, 15.187
0.788, 11.540, 3.174
30.644, 28.004, 3.343
10.284, 14.732, 14.804
16.637, 3.267, 3.454
20.768, 36.233, 14.845
13.454, 31.207, 3.599
18.294, 6.798, 3.374
37.459, 4.858, 3.396
3.724, 8.012, 3.404
23.889, 36.520, 3.601
28.766, 13.754, 15.139
27.871, 30.885, 15.313
27.674, 30.565, 3.553
22.111, 11.284, 15.223
10.421, 21.986, 3.359
20.042, 39.899, 15.045
10.946, 12.649, 3.799
25.600, 9.513, 14.843
9.643, 29.425, 3.390
22.482, 0.200, 3.287
39.182, 30.538, 3.290
37.904, 27.231, 15.240
30.956, 32.088, 3.522
20.465, 3.706, 15.168
2.847, 2.973, 14.784
30.339, 27.422, 15.015
23.565, 6.129, 3.396
39.995, 11.377, 15.060
37.057, 34.570, 15.028
18.364, 29.390, 14.775
14.169, 23.094, 3.456
4.004, 13.534, 3.273
28.580, 24.365, 15.116
37.018, 0.487, 3.337
18.710, 20.369, 14.889
9.145, 30.446, 15.227
33.201, 9.404, 14.640
1.072, 36.267, 14.915
9.244, 4.113, 3.294
29.286, 15.955, 3.407
7.180, 10.492, 3.520
34.486, 22.372, 3.240
32.151, 37.625, 15.261
20.555, 34.914, 3.241
38.378, 3.526, 15.106
16.849, 29.418, 3.167
37.024, 25.096, 3.501
39.940, 38.740, 3.131
13.934, 18.877, 3.321
29.516, 9.973, 15.167
15.667, 5.545, 14.675
35.000, 1.983, 15.052
31.723, 30.720, 15.304
33.471, 15.574, 3.375
15.279, 22.966, 15.195
15.395, 9.655, 15.100
3.364, 36.029, 3.855
10.334, 0.091, 3.447
14.285, 35.207, 3.342
34.547, 31.918, 3.442
4.013, 20.745, 3.730
1.126, 18.999, 3.339
27.509, 26.778, 3.501
13.000, 27.519, 3.471
11.352, 16.748, 3.454
10.662, 36.449, 15.144
33.561, 11.077, 3.631
24.467, 17.835, 3.768
32.461, 23.612, 15.134
25.993, 27.321, 14.910
13.033, 39.399, 14.892
0.617, 32.394, 15.232
6.705, 27.337, 3.292
3.894, 25.286, 3.416
18.852, 24.353, 15.113
36.099, 31.138, 15.094
34.425, 20.457, 14.912
30.229, 12.675, 3.713
25.600, 14.340, 3.419
38.123, 16.919, 3.741
17.205, 32.976, 3.882
6.119, 23.420, 15.055
5.436, 30.773, 14.802
31.710, 35.726, 3.487
25.249, 2.589, 3.223
28.392, 3.285, 15.119
14.390, 35.353, 14.533
10.355, 8.463, 3.606
11.767, 23.700, 15.125
37.278, 10.086, 3.284
6.422, 34.515, 3.483
32.502, 13.156, 15.212
14.206, 6.527, 3.465
0.254, 6.701, 3.384
8.441, 8.546, 14.832
20.296, 26.699, 3.362
8.015, 33.814, 14.952
30.025, 38.815, 3.394
7.003, 23.085, 3.168
26.247, 37.123, 15.201
34.890, 5.683, 14.956
23.587, 25.536, 3.417
18.059, 12.351, 3.389
14.719, 18.424, 15.138
31.236, 5.143, 3.184
16.021, 26.362, 14.907
31.325, 19.559, 3.440
31.448, 17.287, 14.468
28.053, 6.842, 15.052
10.106, 36.293, 3.458
14.161, 10.858, 3.560
20.519, 15.495, 3.407
10.194, 19.192, 14.780
27.049, 10.514, 3.579
1.218, 28.801, 15.172
30.370, 8.521, 3.219
21.470, 26.452, 15.231
0.227, 2.737, 3.179
25.032, 13.359, 15.186
20.839, 19.230, 3.429
34.977, 18.453, 3.343
26.793, 16.609, 14.731
16.290, 1.339, 15.197
35.823, 12.131, 15.201
31.496, 1.799, 15.168
4.331, 34.217, 15.075
33.595, 39.444, 3.336
3.289, 13.637, 15.036
35.875, 36.772, 3.358
22.845, 18.543, 14.766
36.491, 38.859, 15.083
34.920, 16.173, 15.128
17.891, 12.657, 15.298
7.899, 18.885, 3.179
38.303, 18.277, 14.933
28.141, 35.215, 3.695
2.797, 32.550, 3.330
4.334, 27.001, 15.148
0.142, 0.195, 15.110
21.832, 7.109, 15.259
38.890, 14.871, 15.278
6.697, 36.980, 14.907
29.595, 20.732, 14.999
28.939, 39.489, 15.119
14.546, 38.920, 3.152
17.274, 16.174, 15.297
3.915, 38.962, 14.909
24.962, 5.008, 15.012
24.837, 1.006, 14.778
6.729, 1.410, 3.492
29.172, 34.729, 15.251
12.785, 3.153, 3.315
31.130, 23.510, 3.263
37.545, 13.453, 3.427
5.503, 16.126, 15.313
20.249, 30.873, 3.428
17.434, 17.127, 3.592
6.447, 2.040, 15.151
21.210, 14.923, 14.882
0.587, 6.396, 15.084
23.999, 21.288, 3.775
14.244, 14.412, 15.050
38.347, 22.371, 15.071
23.973, 32.737, 3.282
18.764, 8.804, 15.361
1.798, 16.811, 15.005
6.401, 38.094, 3.299
1.591, 20.267, 14.978
12.315, 28.943, 14.813
1.155, 15.474, 3.772
6.644, 30.896, 3.576
29.184, 2.069, 3.592
34.174, 2.982, 3.439
4.605, 16.987, 3.490
16.853, 25.312, 3.550
17.833, 33.789, 15.072
16.800, 20.742, 3.468
21.277, 9.000, 3.640
0.910, 24.863, 15.054
39.450, 34.991, 3.316
19.788, 23.163, 3.452
37.462, 8.343, 14.960
4.369, 10.223, 14.820
23.220, 29.580, 15.204
17.430, 37.427, 15.028
5.719, 19.960, 15.240
32.871, 33.919, 14.695
34.383, 7.725, 3.302
33.497, 26.154, 3.792
21.073, 3.659, 3.791
5.086, 6.100, 14.760
36.442, 28.421, 3.401
39.760, 27.155, 3.409
8.772, 4.747, 15.179
4.024, 4.302, 4.086
8.445, 26.441, 15.244
7.080, 6.804, 3.277
12.394, 2.881, 14.905
7.295, 12.714, 15.125
27.645, 19.714, 3.568
24.208, 28.917, 3.131
18.409, 0.009, 3.585
21.831, 21.908, 15.212
24.684, 34.018, 15.381
27.261, 6.611, 3.280
9.641, 0.610, 15.096
22.338, 12.471, 3.365
25.899, 20.191, 14.780
24.408, 24.028, 14.928
7.950, 15.080, 3.826
26.661, 39.265, 3.576
11.678, 11.382, 14.959
9.798, 25.573, 3.332
34.020, 27.863, 15.232
32.507, 8.815, 6.678
9.985, 7.334, 12.187
23.703, 27.275, 6.800
9.298, 8.154, 6.853
4.866, 22.226, 7.015
12.503, 32.925, 11.386
23.771, 15.608, 12.672
1.609, 6.907, 6.870
10.791, 31.232, 7.379
38.176, 12.955, 12.250
17.211, 9.152, 5.685
15.417, 13.086, 7.040
22.741, 12.398, 11.056
24.149, 0.333, 7.261
