x, y, z
23.467, 44.214, 3.250
19.620, 46.328, 3.087
30.857, 30.485, 46.546
10.583, 42.525, 46.575
41.540, 22.864, 3.553
10.949, 41.595, 3.341
14.413, 42.739, 3.227
30.633, 23.452, 46.743
41.724, 15.562, 3.341
37.265, 36.903, 3.311
47.800, 46.239, 3.438
33.379, 42.725, 3.587
7.366, 13.685, 3.271
24.616, 32.639, 46.611
23.847, 1.148, 46.625
33.951, 49.296, 46.135
39.371, 8.431, 46.671
31.558, 18.977, 46.589
30.315, 44.134, 46.411
46.666, 1.970, 46.435
7.935, 40.106, 46.628
12.942, 30.365, 46.875
25.095, 18.467, 46.619
24.534, 25.335, 46.799
35.837, 9.440, 46.786
27.679, 4.159, 3.654
30.357, 32.740, 3.560
7.435, 24.924, 46.429
44.572, 46.063, 46.398
10.604, 19.453, 3.232
4.137, 42.030, 3.587
10.362, 15.832, 3.530
3.511, 49.814, 46.736
34.548, 11.860, 3.564
43.123, 35.873, 46.284
47.639, 47.906, 46.674
1.653, 21.636, 46.437
37.529, 47.937, 3.481
40.486, 42.844, 3.160
21.491, 23.731, 46.500
37.742, 28.872, 3.602
23.491, 47.650, 46.526
24.183, 36.143, 46.355
40.952, 19.255, 3.383
0.940, 40.214, 3.553
24.327, 21.924, 46.770
30.823, 1.844, 3.227
6.831, 2.143, 46.578
37.325, 32.962, 3.562
4.284, 19.768, 3.355
13.566, 48.089, 3.334
11.029, 7.745, 3.461
12.490, 9.962, 46.241
32.814, 7.518, 46.738
20.945, 37.586, 46.633
21.136, 22.838, 3.510
30.610, 1.352, 46.525
7.332, 6.086, 3.474
20.131, 45.469, 46.776
43.159, 36.748, 3.109
7.372, 21.589, 3.481
41.232, 46.357, 3.326
23.996, 24.799, 3.327
31.495, 9.520, 3.460
47.635, 23.038, 4.066
9.998, 3.674, 3.273
39.494, 37.636, 46.525
34.208, 38.240, 3.614
18.593, 10.590, 46.550
31.777, 14.983, 46.781
6.349, 14.039, 46.769
49.255, 24.114, 46.431
40.819, 4.454, 3.451
27.721, 8.051, 3.545
48.030, 19.500, 3.589
23.952, 28.490, 3.566
9.509, 7.871, 46.495
13.382, 17.462, 3.622
10.719, 22.779, 46.479
19.862, 6.831, 46.803
47.840, 12.023, 3.292
41.030, 11.774, 3.631
1.712, 11.179, 46.389
44.407, 24.859, 3.680
23.597, 48.018, 3.135
17.944, 20.512, 3.344
39.146, 11.888, 46.577
21.145, 37.673, 3.343
16.914, 0.918, 46.667
37.490, 5.671, 3.363
3.756, 38.217, 3.518
40.290, 34.830, 3.396
23.685, 10.400, 3.424
40.841, 25.547, 46.466
41.796, 43.652, 46.407
31.043, 5.389, 3.677
2.956, 7.057, 46.491
14.849, 27.478, 46.741
33.268, 3.616, 46.496
17.235, 11.401, 3.274
33.426, 33.041, 46.763
7.424, 47.583, 3.169
16.384, 32.312, 3.353
43.836, 32.572, 3.653
20.009, 3.228, 46.549
24.428, 39.374, 3.164
25.756, 10.861, 46.421
45.998, 5.922, 46.721
13.798, 44.571, 46.508
17.148, 47.495, 46.667
7.800, 35.080, 46.371
4.498, 27.002, 3.219
44.876, 17.528, 3.253
37.355, 44.372, 3.175
28.482, 16.763, 46.390
9.486, 12.093, 46.710
38.229, 15.416, 46.565
20.767, 12.300, 3.650
49.898, 37.219, 46.841
37.024, 40.891, 3.483
34.408, 3.688, 3.667
10.946, 27.154, 3.299
26.559, 6.544, 46.429
6.773, 21.255, 46.207
27.801, 20.591, 46.599
14.182, 25.214, 3.350
29.993, 44.409, 3.426
33.414, 46.148, 3.731
9.727, 15.538, 46.911
17.284, 42.905, 46.897
3.427, 34.311, 3.791
7.317, 17.947, 3.468
8.294, 35.459, 3.223
34.020, 0.087, 3.280
34.717, 24.087, 46.779
7.193, 48.466, 46.636
16.877, 28.622, 3.341
11.723, 45.052, 3.639
50.000, 36.200, 3.341
20.571, 49.503, 46.541
49.762, 4.342, 46.757
40.296, 39.050, 3.392
26.736, 49.349, 46.412
24.189, 39.678, 46.533
37.569, 48.540, 46.329
10.956, 12.231, 3.222
33.276, 41.988, 46.724
24.383, 2.452, 3.542
25.137, 14.808, 46.679
31.905, 26.728, 46.580
27.908, 11.387, 3.224
12.883, 5.816, 46.596
46.560, 37.936, 3.508
43.212, 28.070, 46.825
0.861, 10.085, 3.301
31.050, 24.859, 3.361
47.395, 8.555, 3.469
46.603, 16.460, 46.357
20.496, 30.050, 3.401
35.497, 13.115, 45.952
30.576, 29.273, 3.466
30.844, 13.448, 3.655
40.394, 31.217, 3.560
0.552, 28.668, 3.610
34.760, 17.099, 46.568
21.823, 12.218, 46.695
35.405, 20.701, 46.554
26.675, 45.933, 46.249
21.332, 19.595, 46.588
14.095, 38.657, 3.503
31.308, 17.665, 3.239
21.525, 15.709, 3.318
2.703, 31.041, 46.560
14.211, 40.268, 46.688
31.004, 35.908, 46.413
17.928, 39.301, 3.682
4.266, 11.661, 3.417
21.115, 27.119, 46.586
17.206, 3.985, 3.357
30.045, 47.688, 46.604
20.270, 8.626, 3.413
24.948, 13.338, 3.480
23.567, 35.315, 3.447
39.962, 29.443, 46.713
26.857, 41.971, 46.803
20.800, 0.849, 3.323
40.767, 8.029, 3.252
47.479, 4.733, 4.133
31.078, 40.236, 3.708
15.126, 12.252, 46.327
37.033, 31.717, 46.578
30.901, 36.754, 3.341
46.434, 34.428, 46.751
21.472, 16.012, 46.451
13.541, 1.753, 3.540
34.135, 30.271, 3.931
45.444, 23.533, 46.778
48.381, 40.945, 46.450
29.614, 9.258, 46.486
4.167, 8.135, 3.544
48.717, 13.832, 46.639
0.925, 27.848, 46.633
42.896, 7.282, 46.904
11.468, 33.694, 46.551
43.549, 40.625, 3.344
24.174, 29.259, 46.567
17.889, 14.788, 46.628
26.990, 30.692, 3.744
2.843, 14.850, 46.745
40.956, 49.944, 3.387
0.998, 21.744, 3.652
13.612, 5.312, 3.536
35.860, 35.746, 46.817
16.062, 45.889, 3.371
3.702, 0.229, 3.387
10.829, 19.326, 46.632
10.686, 37.857, 46.575
28.535, 26.595, 46.840
3.832, 18.406, 46.538
36.932, 2.376, 46.471
6.885, 1.555, 3.281
0.977, 46.893, 46.670
11.125, 26.513, 46.809
4.440, 46.055, 46.474
44.231, 1.499, 3.592
26.675, 42.382, 3.190
17.774, 21.697, 46.487
13.496, 30.503, 3.286
7.446, 39.737, 3.303
5.058, 42.362, 46.581
43.924, 9.826, 3.515
4.602, 4.101, 3.289
4.458, 23.419, 3.681
21.313, 41.404, 3.924
28.040, 22.831, 3.471
18.065, 43.125, 3.345
13.839, 48.378, 46.677
1.215, 18.144, 3.434
14.180, 36.579, 46.690
47.857, 20.437, 46.586
36.200, 5.736, 46.606
49.739, 8.125, 46.617
15.133, 32.907, 46.584
47.834, 15.720, 3.220
27.775, 38.249, 3.253
36.917, 27.077, 46.489
2.261, 39.779, 46.719
14.609, 13.839, 3.473
16.973, 18.135, 46.847
0.580, 32.404, 3.335
16.247, 4.915, 46.446
13.634, 2.198, 46.642
40.976, 47.190, 46.597
22.881, 17.466, 6.968
17.441, 49.193, 3.543
16.183, 7.823, 3.386
14.213, 20.353, 46.338
15.955, 8.562, 46.732
44.779, 13.776, 3.437
7.786, 29.178, 3.331
10.411, 46.979, 46.128
24.716, 17.364, 3.562
47.142, 27.483, 46.598
27.423, 0.355, 3.252
10.809, 37.887, 3.445
44.343, 13.969, 46.555
45.266, 42.572, 46.689
23.180, 8.330, 46.527
38.997, 19.217, 46.728
24.947, 21.085, 3.483
46.067, 37.979, 46.713
0.525, 6.810, 3.182
38.280, 23.039, 46.355
26.620, 3.028, 46.468
7.363, 43.684, 3.347
16.747, 35.948, 3.483
44.197, 20.878, 3.370
34.634, 7.312, 3.206
7.665, 44.628, 46.593
47.878, 26.528, 3.639
28.881, 12.870, 46.245
6.930, 5.760, 46.710
30.106, 40.344, 46.615
34.806, 26.854, 3.460
20.073, 34.048, 3.450
20.737, 41.461, 46.591
43.881, 6.154, 3.502
21.567, 18.988, 3.625
21.227, 30.689, 46.790
7.773, 25.284, 3.803
1.299, 48.072, 3.347
11.847, 25.270, 6.119
42.268, 39.643, 46.583
14.138, 21.270, 3.289
5.221, 9.706, 46.392
34.433, 29.366, 46.555
14.893, 23.947, 46.686
20.719, 4.675, 3.915
30.465, 48.247, 3.298
44.118, 44.248, 3.549
47.375, 30.896, 3.356
17.059, 16.622, 3.455
36.305, 39.410, 46.044
34.380, 15.432, 3.250
33.912, 34.527, 3.692
27.994, 15.718, 3.447
37.837, 10.046, 3.525
37.591, 13.977, 3.693
9.864, 3.897, 46.411
5.363, 27.842, 46.155
41.569, 16.590, 46.656
23.417, 43.811, 46.526
21.190, 34.129, 46.559
38.145, 2.160, 3.716
13.971, 10.449, 3.284
34.785, 22.935, 3.223
46.574, 30.934, 46.684
4.539, 15.686, 3.380
1.593, 43.167, 46.345
24.533, 6.403, 3.900
43.056, 31.861, 46.790
0.077, 17.672, 46.502
17.836, 39.167, 45.694
6.438, 31.921, 46.664
40.465, 1.122, 46.700
46.323, 10.644, 46.767
34.387, 45.885, 46.731
13.479, 16.341, 46.771
17.383, 24.353, 3.334
17.563, 35.720, 46.744
23.717, 32.088, 3.144
38.335, 21.564, 3.393
18.237, 25.429, 46.623
3.531, 34.515, 46.680
27.842, 33.917, 46.390
7.451, 9.969, 3.460
37.681, 17.389, 3.459
0.731, 2.833, 3.432
39.993, 4.632, 46.546
4.229, 45.885, 3.575
3.273, 24.789, 46.709
0.751, 43.858, 3.333
20.613, 26.218, 3.301
1.273, 14.381, 3.539
27.464, 30.344, 46.815
44.732, 28.209, 3.505
29.801, 5.302, 46.618
3.501, 3.670, 46.591
44.483, 19.268, 46.698
48.309, 0.325, 3.287
43.765, 49.808, 46.625
27.000, 46.955, 3.979
6.587, 32.287, 4.239
39.480, 34.316, 46.735
27.364, 37.660, 46.762
37.788, 45.212, 46.579
10.465, 49.825, 3.307
9.890, 32.068, 3.232
37.949, 7.670, 6.395
10.410, 0.459, 46.548
18.209, 28.692, 46.375
9.453, 29.733, 46.629
47.007, 34.442, 3.627
41.172, 27.098, 3.422
38.745, 41.804, 46.253
27.431, 34.859, 3.946
48.095, 44.629, 46.481
34.613, 19.421, 3.396
44.695, 47.877, 3.205
23.300, 4.840, 46.740
38.243, 25.386, 3.242
41.436, 21.803, 46.489
3.895, 30.462, 3.234
47.578, 14.827, 6.550
45.011, 34.609, 6.993
13.229, 34.283, 3.814
10.977, 22.914, 3.526
0.217, 0.485, 46.765
1.230, 46.880, 6.871
43.353, 3.449, 46.566
24.727, 36.246, 6.927
39.287, 27.071, 6.166
40.827, 5.737, 6.565
1.070, 25.132, 3.455
47.979, 47.815, 6.369
7.065, 17.742, 46.671
47.287, 42.527, 3.257
5.572, 17.630, 6.639
1.599, 24.850, 42.456
11.602, 1.777, 6.622
27.976, 19.263, 3.288
43.116, 48.751, 6.306
32.376, 11.436, 46.576
15.060, 3.085, 6.439
18.032, 14.004, 5.868
5.081, 37.657, 46.268
45.651, 18.958, 6.347
36.833, 34.201, 43.695
18.005, 5.399, 6.835
33.867, 17.707, 6.316
41.582, 1.978, 6.045
1.982, 38.271, 6.698
8.911, 27.371, 6.386
29.886, 3.920, 7.310
29.200, 7.532, 6.899
31.558, 21.385, 3.351
18.885, 42.406, 43.726
18.188, 2.723, 43.464
5.397, 28.670, 6.314
45.822, 49.851, 43.426
45.188, 22.556, 8.103
12.477, 36.823, 6.495
18.133, 34.238, 6.548
8.717, 22.911, 7.235
45.414, 36.336, 42.989
2.304, 19.518, 6.940
38.485, 11.790, 6.611
37.238, 8.289, 42.794
19.635, 18.811, 6.918
29.015, 33.631, 6.895
0.173, 33.786, 46.318
38.614, 4.130, 42.717
12.510, 21.646, 7.221
22.643, 9.137, 6.575
11.627, 32.892, 7.048
24.789, 45.373, 42.962
28.339, 0.991, 43.774
36.533, 40.810, 7.435
11.725, 36.281, 43.885
40.545, 34.591, 43.192
27.812, 13.568, 6.504
34.519, 5.305, 43.033
26.173, 30.968, 7.947
21.297, 48.587, 6.483
24.552, 3.585, 43.801
29.106, 28.370, 8.203
39.678, 37.391, 6.372
39.530, 15.366, 7.165
8.061, 8.001, 6.282
27.385, 26.497, 3.136
32.606, 6.284, 6.729
22.252, 13.458, 6.624
34.726, 1.407, 43.390
8.089, 15.083, 6.532
31.325, 3.061, 43.169
35.178, 24.721, 7.193
26.024, 10.216, 6.235
46.910, 11.064, 6.591
1.095, 28.565, 43.076
37.508, 37.284, 41.767
