zPositions, avgNumOfMethanesAtZ
0.000, 0.000
0.092, 0.000
0.185, 0.000
0.277, 0.000
0.370, 0.000
0.463, 0.000
0.555, 0.000
0.648, 0.000
0.740, 0.000
0.833, 0.000
0.925, 0.000
1.018, 0.000
1.110, 0.000
1.203, 0.000
1.295, 0.000
1.388, 0.000
1.480, 0.000
1.573, 0.000
1.665, 0.000
1.758, 0.000
1.850, 0.000
1.943, 0.000
2.035, 0.000
2.127, 0.000
2.220, 0.000
2.312, 0.000
2.405, 0.000
2.497, 0.000
2.590, 0.000
2.682, 0.000
2.775, 0.000
2.867, 0.000
2.960, 0.001
3.052, 0.014
3.145, 0.066
3.237, 0.138
3.330, 0.167
3.422, 0.143
3.515, 0.097
3.607, 0.058
3.700, 0.034
3.792, 0.018
3.885, 0.011
3.977, 0.006
4.070, 0.003
4.162, 0.002
4.255, 0.001
4.347, 0.001
4.440, 0.001
4.532, 0.000
4.625, 0.000
4.717, 0.000
4.810, 0.000
4.902, 0.000
4.995, 0.000
5.087, 0.000
5.180, 0.000
5.272, 0.000
5.365, 0.000
5.457, 0.000
5.550, 0.000
5.643, 0.000
5.735, 0.001
5.828, 0.001
5.920, 0.001
6.013, 0.001
6.105, 0.002
6.198, 0.002
6.290, 0.002
6.383, 0.003
6.475, 0.003
6.568, 0.003
6.660, 0.003
6.753, 0.002
6.845, 0.002
6.938, 0.002
7.030, 0.001
7.123, 0.001
7.215, 0.001
7.308, 0.001
7.400, 0.001
7.493, 0.000
7.585, 0.000
7.678, 0.000
7.770, 0.000
7.863, 0.000
7.955, 0.000
8.048, 0.000
8.140, 0.000
8.233, 0.000
8.325, 0.000
8.418, 0.000
8.510, 0.000
8.603, 0.000
8.695, 0.000
8.788, 0.000
8.880, 0.000
8.973, 0.000
9.065, 0.000
9.157, 0.000
9.250, 0.000
9.342, 0.000
9.435, 0.000
9.527, 0.000
9.620, 0.000
9.712, 0.000
9.805, 0.000
9.897, 0.000
9.990, 0.000
10.082, 0.000
10.175, 0.000
10.267, 0.000
10.360, 0.000
10.452, 0.000
10.545, 0.000
10.637, 0.000
10.730, 0.000
10.822, 0.000
10.915, 0.000
11.007, 0.001
11.100, 0.001
11.192, 0.001
11.285, 0.001
11.377, 0.001
11.470, 0.001
11.562, 0.002
11.655, 0.002
11.747, 0.002
11.840, 0.003
11.932, 0.003
12.025, 0.002
12.117, 0.002
12.210, 0.002
12.302, 0.002
12.395, 0.001
12.487, 0.001
12.580, 0.001
12.672, 0.001
12.765, 0.001
12.857, 0.001
12.950, 0.000
13.042, 0.000
13.135, 0.000
13.227, 0.000
13.320, 0.000
13.412, 0.000
13.505, 0.000
13.597, 0.000
13.690, 0.000
13.782, 0.000
13.875, 0.001
13.967, 0.001
14.060, 0.001
14.152, 0.001
14.245, 0.002
14.337, 0.004
14.430, 0.006
14.522, 0.010
14.615, 0.019
14.707, 0.033
14.800, 0.058
14.892, 0.096
14.985, 0.137
15.077, 0.167
15.170, 0.135
15.262, 0.065
15.355, 0.014
15.447, 0.001
15.540, 0.000
15.632, 0.000
15.725, 0.000
15.817, 0.000
15.910, 0.000
16.002, 0.000
16.095, 0.000
16.187, 0.000
16.280, 0.000
16.372, 0.000
16.465, 0.000
16.557, 0.000
16.650, 0.000
16.742, 0.000
16.835, 0.000
16.927, 0.000
17.020, 0.000
17.112, 0.000
17.205, 0.000
17.297, 0.000
17.390, 0.000
17.482, 0.000
17.575, 0.000
17.667, 0.000
17.760, 0.000
17.852, 0.000
17.945, 0.000
18.037, 0.000
18.130, 0.000
18.222, 0.000
18.315, 0.000
