x, y, z
3.545, 48.509, 46.520
25.685, 42.768, 3.484
29.035, 24.688, 46.013
21.027, 38.554, 3.432
26.399, 33.051, 3.859
48.979, 2.652, 4.464
47.673, 33.170, 3.694
28.408, 11.072, 3.501
10.040, 3.638, 3.664
33.147, 2.202, 3.656
32.123, 35.617, 3.662
35.423, 29.465, 46.461
36.609, 3.668, 3.353
42.593, 35.964, 46.399
4.589, 21.445, 3.564
25.299, 6.795, 3.633
2.134, 11.004, 46.056
6.774, 8.738, 45.792
1.797, 32.232, 3.278
46.812, 21.886, 3.478
14.899, 37.799, 3.619
41.779, 16.946, 3.493
30.118, 5.808, 4.104
42.223, 1.926, 46.114
44.938, 29.706, 4.748
26.283, 48.399, 46.562
49.518, 42.367, 46.858
24.215, 46.163, 3.519
16.065, 10.098, 46.004
41.954, 6.602, 3.751
21.930, 23.750, 46.080
10.645, 15.519, 3.773
42.713, 21.745, 3.849
27.603, 37.627, 3.879
3.432, 37.278, 46.369
48.785, 4.070, 46.171
7.237, 1.930, 46.227
14.172, 27.472, 45.992
11.759, 43.954, 46.084
18.924, 12.036, 3.860
15.186, 32.501, 3.646
7.968, 15.970, 46.300
34.787, 9.844, 46.640
15.877, 19.065, 46.503
45.426, 8.784, 3.537
1.230, 31.792, 46.503
30.629, 31.994, 3.748
10.860, 10.962, 3.685
16.082, 26.565, 4.710
24.272, 17.981, 46.357
8.039, 20.099, 46.333
12.116, 17.315, 46.398
28.642, 15.884, 46.522
15.555, 0.292, 3.934
47.634, 37.833, 46.703
9.175, 43.117, 3.479
31.671, 19.886, 46.392
30.295, 35.681, 46.357
39.337, 12.644, 44.959
29.503, 45.682, 46.176
0.608, 25.114, 45.844
18.247, 42.614, 45.725
20.888, 6.801, 45.436
38.827, 8.631, 28.861
25.099, 16.120, 19.198
27.429, 8.263, 7.338
12.122, 47.561, 45.201
40.841, 41.966, 8.343
46.535, 41.613, 31.703
17.746, 14.924, 43.833
18.318, 41.339, 3.873
34.451, 29.286, 7.672
38.369, 23.130, 45.936
6.456, 33.379, 5.916
10.787, 4.684, 45.819
6.642, 9.983, 33.018
30.884, 12.971, 7.305
36.212, 10.861, 4.852
28.977, 9.576, 45.242
23.788, 15.822, 3.950
44.032, 48.839, 12.249
32.112, 39.722, 14.970
48.581, 11.188, 43.354
4.511, 9.209, 9.238
26.383, 22.267, 3.322
48.196, 49.409, 26.761
12.380, 5.280, 31.482
36.879, 5.164, 35.307
12.562, 9.715, 23.128
49.316, 11.880, 17.073
49.392, 25.429, 4.031
10.662, 25.026, 3.860
1.014, 23.171, 42.350
7.808, 40.118, 7.056
2.007, 47.664, 10.908
20.001, 3.443, 46.685
20.711, 41.162, 25.487
27.043, 17.497, 11.859
22.841, 49.166, 42.946
47.138, 13.653, 7.036
43.399, 21.083, 43.576
18.685, 4.240, 39.180
25.752, 24.221, 41.780
42.515, 35.904, 27.879
22.170, 10.981, 6.141
4.525, 24.129, 31.329
5.027, 39.953, 29.365
