x, y, z
14.392, 15.647, 36.649
36.092, 19.139, 36.225
34.527, 1.318, 4.473
8.706, 37.402, 3.555
16.441, 21.550, 3.760
31.910, 10.965, 4.131
26.655, 26.334, 36.734
30.781, 5.238, 4.087
24.496, 8.496, 3.543
5.153, 34.855, 3.524
39.266, 5.342, 36.337
19.555, 14.396, 4.583
27.133, 29.850, 3.798
21.681, 33.495, 36.179
35.590, 35.599, 36.748
20.259, 9.929, 3.772
28.515, 14.101, 3.587
37.159, 8.925, 36.410
6.785, 21.845, 36.171
0.590, 5.908, 3.663
17.180, 2.584, 34.837
22.363, 28.847, 36.474
11.165, 5.896, 3.987
36.165, 5.225, 3.528
30.880, 13.358, 35.680
31.270, 35.068, 3.520
28.940, 20.756, 36.500
28.110, 9.931, 36.298
18.941, 27.444, 3.617
27.902, 9.447, 4.961
34.841, 12.574, 36.613
4.318, 23.067, 4.097
22.612, 29.813, 3.473
1.255, 37.934, 3.334
36.016, 9.224, 3.595
32.841, 17.144, 36.431
17.691, 29.621, 36.757
30.182, 18.303, 4.872
8.440, 33.250, 36.450
13.383, 28.822, 36.165
13.826, 13.263, 3.785
27.522, 37.231, 36.276
17.455, 34.970, 36.264
5.711, 30.454, 36.696
3.543, 9.792, 36.101
23.419, 24.708, 3.334
9.167, 30.101, 4.382
17.912, 37.718, 3.387
4.740, 11.214, 4.093
35.680, 0.384, 36.549
21.957, 17.284, 3.719
16.201, 8.600, 3.917
2.153, 23.001, 35.835
4.701, 17.868, 36.430
11.170, 22.179, 35.882
37.665, 29.494, 3.681
36.998, 31.940, 36.421
38.159, 24.230, 36.415
2.383, 27.720, 36.914
13.839, 3.509, 4.441
36.437, 37.102, 3.323
31.345, 29.916, 3.298
32.025, 36.742, 36.114
7.994, 11.433, 36.110
0.017, 21.228, 3.307
20.295, 5.810, 3.627
27.835, 22.010, 4.434
19.371, 39.379, 35.911
38.070, 14.279, 36.439
15.096, 16.543, 5.783
13.107, 37.616, 4.276
27.487, 1.344, 36.366
9.714, 9.828, 3.739
37.398, 17.429, 3.662
39.987, 1.790, 3.454
21.757, 22.198, 36.506
5.054, 3.330, 36.331
16.600, 11.993, 5.958
31.912, 26.046, 35.924
20.100, 2.120, 4.020
0.319, 26.249, 3.645
12.173, 37.552, 36.311
2.864, 14.327, 35.360
21.073, 8.389, 7.397
4.682, 38.899, 3.400
23.730, 2.611, 36.558
5.994, 33.864, 33.345
30.782, 30.990, 34.714
13.464, 8.436, 36.285
16.269, 36.860, 7.156
25.366, 4.697, 3.623
9.170, 19.464, 4.017
24.149, 36.240, 6.863
23.738, 36.774, 34.797
4.450, 27.032, 4.323
28.433, 16.181, 36.806
4.548, 22.322, 31.260
19.162, 8.717, 35.670
35.415, 2.546, 29.706
28.742, 33.729, 36.715
33.104, 31.978, 29.568
32.560, 9.581, 7.945
8.324, 2.557, 3.266
9.051, 5.544, 36.298
33.897, 29.741, 8.298
25.759, 3.913, 19.319
13.494, 17.103, 18.603
23.389, 21.104, 5.314
15.044, 29.130, 32.410
37.006, 9.096, 31.171
25.143, 12.946, 33.791
31.852, 0.694, 29.814
2.253, 16.298, 31.427
2.016, 19.524, 33.804
26.314, 33.077, 5.676
20.664, 12.322, 8.176
16.048, 2.100, 28.590
1.765, 33.830, 7.884
4.220, 31.439, 3.657
37.334, 24.112, 31.619
22.984, 3.370, 6.582
13.762, 17.824, 25.738
35.229, 35.542, 21.048
34.748, 39.988, 32.766
33.137, 17.763, 14.613
1.680, 24.541, 7.958
29.167, 1.232, 32.609
28.404, 29.919, 7.738
33.520, 9.166, 27.557
24.814, 38.711, 24.870
34.795, 34.734, 32.541
2.811, 37.976, 11.872
26.841, 19.244, 20.578
29.947, 38.743, 5.884
33.122, 7.844, 19.395
37.176, 11.948, 28.004
34.366, 6.570, 31.494
16.119, 38.741, 31.362
0.294, 13.263, 3.707
33.232, 19.695, 6.385
7.552, 39.715, 15.667
4.756, 12.646, 32.482
27.701, 6.681, 8.803
32.521, 3.668, 7.464
5.369, 1.071, 7.567
1.916, 28.590, 32.645
14.398, 35.575, 33.967
24.199, 7.687, 14.718
19.812, 16.271, 11.477
2.443, 1.449, 12.758
38.413, 0.327, 32.405
39.639, 11.558, 34.499
3.677, 35.072, 24.908
7.889, 12.662, 9.388
37.473, 21.117, 12.096
4.352, 14.578, 22.757
11.306, 36.345, 25.739
37.655, 20.775, 18.761
29.358, 21.280, 10.836
33.466, 21.527, 35.936
12.284, 0.514, 7.374
20.849, 11.632, 29.289
28.658, 32.364, 16.441
33.120, 18.429, 31.362
13.866, 13.502, 23.364
14.616, 33.060, 23.631
10.545, 26.486, 4.032
6.790, 36.500, 17.316
36.798, 36.614, 28.923
16.621, 7.389, 32.490
21.262, 24.366, 33.596
33.002, 24.254, 19.811
12.939, 12.115, 12.212
23.065, 24.081, 7.775
7.548, 13.899, 29.483
35.943, 10.521, 11.132
15.357, 4.881, 10.854
3.586, 17.091, 7.407
29.457, 6.919, 26.575
6.136, 19.483, 21.515
31.299, 0.649, 19.014
11.187, 20.064, 28.128
11.441, 37.632, 22.018
