zPositions, avgNumOfMethanesAtZ
0.000, 0.000
0.200, 0.000
0.400, 0.000
0.600, 0.000
0.800, 0.000
1.000, 0.000
1.200, 0.000
1.400, 0.000
1.600, 0.000
1.800, 0.000
2.000, 0.000
2.200, 0.000
2.400, 0.000
2.600, 0.000
2.800, 0.000
3.000, 0.005
3.200, 0.027
3.400, 0.044
3.600, 0.038
3.800, 0.025
4.000, 0.016
4.200, 0.011
4.400, 0.007
4.600, 0.006
4.800, 0.005
5.000, 0.004
5.200, 0.003
5.400, 0.003
5.600, 0.003
5.800, 0.003
6.000, 0.003
6.200, 0.004
6.400, 0.004
6.600, 0.005
6.800, 0.006
7.000, 0.006
7.200, 0.006
7.400, 0.006
7.600, 0.005
7.800, 0.005
8.000, 0.005
8.200, 0.004
8.400, 0.004
8.600, 0.004
8.800, 0.004
9.000, 0.003
9.200, 0.003
9.400, 0.003
9.600, 0.003
9.800, 0.003
10.000, 0.003
10.200, 0.003
10.400, 0.003
10.600, 0.003
10.800, 0.003
11.000, 0.003
11.200, 0.003
11.400, 0.003
11.600, 0.003
11.800, 0.003
12.000, 0.003
12.200, 0.003
12.400, 0.003
12.600, 0.002
12.800, 0.002
13.000, 0.002
13.200, 0.002
13.400, 0.002
13.600, 0.002
13.800, 0.002
14.000, 0.002
14.200, 0.002
14.400, 0.002
14.600, 0.002
14.800, 0.002
15.000, 0.002
15.200, 0.002
15.400, 0.002
15.600, 0.002
15.800, 0.002
16.000, 0.002
16.200, 0.002
16.400, 0.002
16.600, 0.002
16.800, 0.002
17.000, 0.002
17.200, 0.002
17.400, 0.002
17.600, 0.002
17.800, 0.002
18.000, 0.002
18.200, 0.002
18.400, 0.002
18.600, 0.002
18.800, 0.002
19.000, 0.002
19.200, 0.002
19.400, 0.002
19.600, 0.002
19.800, 0.002
20.000, 0.002
20.200, 0.002
20.400, 0.002
20.600, 0.002
20.800, 0.002
21.000, 0.002
21.200, 0.002
21.400, 0.002
21.600, 0.002
21.800, 0.002
22.000, 0.002
22.200, 0.002
22.400, 0.002
22.600, 0.002
22.800, 0.002
23.000, 0.002
23.200, 0.002
23.400, 0.002
23.600, 0.002
23.800, 0.002
24.000, 0.002
24.200, 0.002
24.400, 0.002
24.600, 0.002
24.800, 0.002
25.000, 0.002
25.200, 0.002
25.400, 0.002
25.600, 0.002
25.800, 0.002
26.000, 0.002
26.200, 0.002
26.400, 0.002
26.600, 0.002
26.800, 0.002
27.000, 0.002
27.200, 0.003
27.400, 0.003
27.600, 0.003
27.800, 0.003
28.000, 0.003
28.200, 0.003
28.400, 0.003
28.600, 0.003
28.800, 0.003
29.000, 0.003
29.200, 0.003
29.400, 0.003
29.600, 0.003
29.800, 0.003
30.000, 0.003
30.200, 0.003
30.400, 0.003
30.600, 0.003
30.800, 0.003
31.000, 0.003
31.200, 0.004
31.400, 0.004
31.600, 0.004
31.800, 0.005
32.000, 0.005
32.200, 0.006
32.400, 0.006
32.600, 0.006
32.800, 0.006
33.000, 0.005
33.200, 0.005
33.400, 0.004
33.600, 0.004
33.800, 0.003
34.000, 0.003
34.200, 0.003
34.400, 0.003
34.600, 0.003
34.800, 0.004
35.000, 0.004
35.200, 0.005
35.400, 0.007
35.600, 0.010
35.800, 0.016
36.000, 0.026
36.200, 0.038
36.400, 0.045
36.600, 0.028
36.800, 0.005
37.000, 0.000
37.200, 0.000
37.400, 0.000
37.600, 0.000
37.800, 0.000
38.000, 0.000
38.200, 0.000
38.400, 0.000
38.600, 0.000
38.800, 0.000
39.000, 0.000
39.200, 0.000
39.400, 0.000
39.600, 0.000
