Pressure,uptakeMass,uptakeVol,uptakeVolPerMass,uptakeMolperUC,uptakeMolPerKg,qst
100000.0,3.9533466002,3.1995286272,5.5234804898,5.1145482752,0.2464301984,9.96864
200000.0,7.8983686547,6.395582135,11.0353302094,10.2183268672,0.4923414897,10.04142
300000.00000000006,11.560318635,9.4004407041,16.1516813207,14.9558876859,0.7206076023,10.04238
400000.0,14.8294147218,12.1390987957,20.7191504249,19.1852031098,0.9243853325,10.06419
500000.0,18.3598701698,15.058558156,25.6517818786,23.7526460002,1.1444547887,10.03686
600000.0,21.5227678181,17.729108134,30.0708741611,27.8445697164,1.341612684,10.03764
700000.0000000001,24.8847297561,20.5379023724,34.7680922527,32.1940281299,1.551179168,10.13631
800000.0,28.128775788,23.2683638299,39.3005622779,36.3909356401,1.7533954137,9.9872
900000.0,31.0842012862,25.8038594747,43.4297815772,40.2144471895,1.9376206197,9.98504
1000000.0,33.9896003896,28.3074135971,47.4891057109,43.9732382786,2.1187274514,9.99179
2000000.0,57.3027910047,49.5439628304,80.0614972921,74.1341249676,3.5719453877,9.36879
3000000.0,72.9618957334,65.7748297795,101.9398621824,94.3927198194,4.548049098,8.82214
4000000.0,85.0532327132,79.7882009085,118.83346415,110.0355998775,5.3017575056,8.31972
5000000.0,94.0253271312,91.8818696489,131.3689672268,121.6430339509,5.8610292394,7.8171
6000000.0,101.1369551699,102.9016631432,141.3050903891,130.8435338305,6.3043295835,7.66917
7000000.0,107.2357305895,113.4063995909,149.8260905565,138.7336796887,6.6844941854,7.58399
8000000.0,112.085483138,123.2082112952,156.6019987404,145.0079318707,6.9868014717,7.39486
9000000.0,115.8924634132,132.415767033,161.9209812131,149.9331221889,7.2241079868,7.40127
