x, y, z
13.645, 24.863, 13.578
15.735, 16.759, 0.510
22.193, 3.403, 6.815
15.958, 25.145, 17.098
1.658, 17.094, 5.100
22.616, 19.512, 11.517
2.283, 3.876, 4.863
12.546, 10.330, 3.304
21.252, 17.357, 21.146
22.998, 11.855, 18.448
13.430, 6.056, 0.693
14.646, 4.662, 5.275
6.909, 17.864, 19.680
4.388, 7.415, 16.399
8.910, 11.084, 4.155
6.341, 20.837, 11.384
24.386, 7.194, 17.614
24.377, 25.259, 11.754
21.281, 16.839, 6.592
3.804, 1.602, 21.911
13.326, 19.680, 7.245
10.285, 17.153, 21.401
2.339, 6.328, 20.220
11.442, 1.044, 2.065
5.723, 17.677, 24.287
8.770, 19.967, 15.951
7.159, 5.149, 3.995
19.561, 12.255, 16.036
6.119, 15.950, 1.665
9.575, 21.925, 8.686
2.382, 12.350, 17.024
24.520, 12.621, 14.060
15.650, 15.349, 18.683
22.104, 7.857, 24.898
1.788, 20.783, 4.280
5.119, 13.427, 11.339
21.362, 24.713, 20.988
25.392, 5.067, 2.118
6.851, 11.004, 1.321
17.346, 12.246, 23.763
3.976, 16.821, 17.860
18.002, 25.004, 11.478
24.225, 14.626, 2.619
7.010, 16.290, 10.120
0.885, 17.978, 24.969
19.505, 18.984, 4.352
11.695, 6.914, 4.070
25.319, 23.323, 25.082
8.812, 15.396, 4.407
12.599, 14.955, 3.782
3.768, 22.420, 24.729
1.444, 21.082, 12.795
22.584, 19.819, 23.373
18.518, 24.571, 3.129
7.864, 5.807, 13.185
23.318, 11.338, 8.592
13.597, 25.089, 6.715
15.425, 17.277, 15.671
5.601, 3.634, 15.936
12.148, 19.706, 11.507
1.274, 9.638, 13.117
20.835, 13.777, 10.251
11.075, 2.777, 12.541
21.825, 1.111, 14.563
15.426, 8.933, 23.195
13.194, 3.516, 8.459
0.146, 20.080, 20.851
0.864, 7.292, 24.818
0.134, 14.379, 19.118
1.923, 25.279, 4.918
0.352, 19.860, 8.562
2.159, 9.490, 18.763
15.585, 21.858, 10.676
2.400, 18.455, 15.307
0.503, 23.683, 21.387
17.713, 17.211, 21.891
24.366, 1.410, 8.581
10.042, 16.729, 13.192
24.384, 19.732, 16.975
13.433, 18.344, 2.789
20.668, 13.874, 0.365
18.722, 3.849, 16.169
14.497, 7.276, 8.236
10.925, 22.917, 5.327
14.213, 18.620, 20.833
20.083, 6.763, 17.246
25.372, 9.178, 21.519
1.584, 4.101, 16.962
22.195, 9.485, 15.223
23.028, 16.356, 16.018
21.865, 2.205, 18.497
11.348, 0.327, 9.353
5.838, 13.925, 23.800
2.143, 14.276, 14.122
8.129, 0.210, 5.216
3.089, 18.557, 21.049
5.596, 21.774, 20.028
22.111, 17.841, 1.937
9.218, 2.926, 15.754
2.236, 22.112, 17.412
2.738, 11.626, 9.039
11.043, 23.307, 16.025
0.204, 14.020, 7.033
19.200, 10.389, 2.745
12.545, 20.011, 15.018
21.025, 3.169, 3.219
10.999, 20.272, 19.146
20.595, 22.892, 14.103
4.362, 11.753, 20.617
10.009, 2.973, 5.700
10.818, 4.099, 23.680
25.391, 1.283, 2.780
4.991, 12.608, 4.533
7.644, 8.227, 10.583
12.628, 17.076, 24.428
10.034, 19.864, 24.916
8.326, 12.577, 13.044
15.200, 5.325, 23.291
23.489, 23.278, 18.688
3.972, 1.811, 8.303
7.681, 9.395, 23.160
25.158, 5.549, 6.506
4.420, 23.411, 6.668
6.645, 4.216, 22.529
15.138, 17.929, 10.321
18.416, 7.794, 24.996
9.994, 6.947, 19.970
6.137, 22.453, 15.769
9.032, 11.488, 20.215
6.675, 24.931, 22.055
25.516, 23.285, 15.024
12.343, 7.583, 16.820
6.059, 18.123, 13.532
2.316, 14.448, 0.190
22.687, 23.140, 9.249
12.231, 7.552, 22.799
23.695, 19.024, 5.502
14.126, 2.402, 15.224
9.693, 7.250, 7.409
19.674, 14.286, 18.846
9.753, 10.903, 9.784
15.719, 13.524, 14.744
18.515, 25.399, 25.245
17.579, 2.817, 13.069
23.215, 4.642, 15.743
9.885, 19.145, 3.736
4.389, 23.778, 12.788
2.371, 9.726, 6.018
17.966, 2.824, 19.644
11.870, 12.936, 13.466
21.756, 25.390, 2.055
12.130, 8.469, 10.742
15.386, 23.189, 2.638
4.017, 19.933, 8.363
10.089, 0.502, 24.085
3.305, 16.123, 9.087
8.049, 2.595, 19.656
3.201, 9.507, 1.217
17.455, 8.247, 20.031
11.615, 10.105, 6.801
15.511, 11.179, 5.852
2.188, 17.835, 11.824
1.782, 11.159, 23.729
19.444, 0.307, 17.281
18.007, 11.095, 12.562
21.594, 9.128, 6.123
14.003, 9.237, 13.779
5.691, 1.492, 3.238
0.788, 11.243, 3.264
9.469, 9.230, 13.543
15.648, 5.726, 16.038
4.923, 22.696, 2.724
2.101, 4.503, 9.714
16.370, 11.873, 20.280
14.466, 21.977, 17.530
20.646, 21.055, 19.780
10.587, 12.631, 1.131
6.441, 10.660, 16.723
6.338, 1.142, 13.478
16.514, 10.384, 16.741
8.822, 7.486, 16.659
0.148, 8.729, 9.002
22.395, 11.890, 4.528
3.592, 7.935, 9.974
14.187, 11.367, 9.708
1.544, 5.747, 13.454
10.969, 15.461, 10.012
23.883, 7.746, 12.518
18.129, 12.398, 7.857
5.363, 4.517, 11.394
4.148, 6.687, 5.876
23.720, 4.678, 24.007
21.763, 6.923, 9.422
10.230, 13.378, 6.926
2.274, 15.429, 22.401
23.785, 5.161, 20.622
15.229, 14.916, 22.710
17.932, 23.550, 20.983
6.977, 4.533, 8.039
8.046, 23.664, 12.809
1.956, 25.400, 10.470
21.335, 10.714, 12.249
19.785, 15.157, 3.457
17.625, 1.768, 5.009
10.286, 10.820, 17.083
17.441, 7.950, 6.159
21.083, 2.501, 22.316
24.053, 3.580, 12.074
10.157, 4.726, 9.798
11.309, 23.257, 11.493
8.389, 24.229, 2.065
3.164, 0.010, 18.031
17.621, 21.833, 24.540
0.130, 1.179, 15.456
20.282, 17.176, 24.474
25.172, 0.769, 19.083
19.535, 11.401, 21.068
17.416, 7.536, 13.897
14.691, 2.279, 2.765
2.546, 2.717, 13.045
6.616, 13.800, 18.423
7.519, 21.900, 5.302
16.720, 20.493, 5.989
21.099, 0.773, 10.395
6.583, 20.942, 0.073
7.039, 18.313, 6.046
18.518, 22.429, 16.620
11.192, 9.461, 25.516
6.746, 23.950, 9.277
5.834, 8.772, 19.581
9.910, 18.613, 8.162
4.971, 4.680, 19.086
21.886, 22.045, 5.580
20.521, 20.223, 8.604
21.094, 22.157, 1.275
22.988, 0.192, 24.473
6.283, 8.811, 4.203
16.583, 20.009, 1.590
17.504, 3.228, 0.861
19.137, 9.181, 9.120
6.122, 10.649, 7.191
6.323, 14.496, 6.990
12.591, 13.070, 18.299
16.563, 20.879, 13.761
18.556, 5.548, 22.084
17.099, 6.476, 10.419
18.794, 18.260, 10.728
21.161, 8.059, 20.783
5.604, 13.819, 15.090
22.086, 13.876, 21.555
12.113, 9.624, 20.046
11.955, 23.062, 1.675
13.418, 21.107, 23.003
18.689, 15.430, 13.659
17.845, 16.890, 7.578
8.301, 7.682, 0.727
8.434, 3.392, 0.976
3.731, 8.691, 22.855
3.631, 17.988, 2.431
10.209, 16.677, 1.330
5.716, 25.505, 25.501
11.908, 13.843, 21.474
24.837, 16.697, 21.419
14.381, 4.787, 11.566
24.156, 8.022, 3.682
12.838, 23.914, 20.924
19.913, 7.033, 3.696
18.812, 4.784, 6.613
24.711, 20.039, 2.073
14.387, 6.647, 19.750
20.604, 4.471, 25.448
12.249, 3.669, 18.599
24.642, 23.303, 3.614
3.512, 6.046, 2.237
9.184, 12.903, 23.584
9.074, 14.746, 15.929
12.602, 17.134, 17.620
17.476, 1.712, 8.922
14.640, 25.318, 10.257
10.545, 0.581, 18.460
23.162, 11.045, 23.545
5.958, 9.635, 13.352
15.868, 14.486, 10.683
15.015, 15.371, 6.536
17.241, 2.212, 23.079
9.970, 22.641, 22.488
7.943, 1.300, 10.016
6.971, 0.415, 16.762
16.939, 23.670, 7.854
21.063, 6.438, 13.442
8.796, 22.960, 19.049
23.775, 14.388, 24.769
23.246, 16.492, 9.572
0.766, 14.275, 10.975
0.135, 2.253, 22.553
23.711, 10.814, 1.486
13.475, 15.989, 13.135
24.335, 16.367, 12.929
2.608, 25.268, 0.814
10.980, 5.811, 14.059
1.469, 2.937, 0.036
20.408, 18.268, 14.380
18.921, 18.775, 17.440
15.430, 12.753, 1.459
3.153, 4.982, 23.418
13.744, 11.950, 23.531
20.353, 0.263, 7.252
19.878, 4.056, 10.689
0.621, 23.796, 7.711
7.614, 20.209, 22.270
14.723, 24.755, 24.238
16.660, 16.590, 3.722
23.302, 25.527, 5.706
5.251, 3.363, 0.022
13.288, 2.061, 22.473
15.495, 9.454, 1.054
16.622, 20.560, 19.822
16.225, 6.782, 3.362
